"Content Identifier","Information Package Iri","Iri","Component Type","Data Cube Iri","Data Type","Index","Label","Size","Unit Symbol","ZDC Data Cube"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:82d2236b-fda5-4be7-8539-88b044b98dfc","dimension","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",0,"elapsed time",17401,"s",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:25506435-7a93-4b3e-afb7-35e9e0d06dc8","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",0,"temperature",None,"degC",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:13cc5612-7600-474b-939a-8cfad0603240","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",1,"heat flow",None,"mW",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:1c4346c2-12ef-457f-a9a0-b1db38cb3b53","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",2,"delta t",None,"degC",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:674bbb7a-698b-46f8-a6eb-966e70aeff98","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",3,"delta tzero",None,"degC",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:e41729e4-d779-4145-973c-fb16adf035bb","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",4,"tzero temperature",None,"degC",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:e917b37c-2b01-4e56-9b97-6deede0bad79","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",5,"heater temp",None,"degC",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:59d514ad-4dfd-4c9c-b210-156da3d0144d","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",6,"power delivered",None,"%",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:09b48bb3-2511-4754-8e00-76c856ba6966","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",7,"heat flow phase",None,"rad",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:0d8f9a5c-c6f7-4259-bd42-2683e5feaf52","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",8,"total heat capacity",None,"J/(g·°C)",0
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n003-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/506fef9a38ff40e5a5f60bbc326671","urn:uuid:db4c5e74-498d-437a-8fd9-633531377943","measure","urn:uuid:0d415340-99db-4a2b-a9a2-9f951d8a0876","double",9,"heat capacity",None,"J/(g·°C)",0
