Environment;Tab;SubTab;Role Index;Role;Permission Index;Permission;Value
devinternal;Administration;;1;System Admin;1;Configure System;1
devinternal;Administration;;1;System Admin;2;Manage System Templates;1
devinternal;Administration;;1;System Admin;3;Manage Groups;1
devinternal;Administration;;1;System Admin;4;Manage Attributes;1
devinternal;Administration;;1;System Admin;5;Manage ADOs;1
devinternal;Administration;;2;Inventory Admin;1;Configure System;1
devinternal;Administration;;2;Inventory Admin;2;Manage System Templates;1
devinternal;Administration;;2;Inventory Admin;3;Manage Groups;0
devinternal;Administration;;2;Inventory Admin;4;Manage Attributes;0
devinternal;Administration;;2;Inventory Admin;5;Manage ADOs;0
devinternal;Administration;;3;Standard User;1;Configure System;0
devinternal;Administration;;3;Standard User;2;Manage System Templates;0
devinternal;Administration;;3;Standard User;3;Manage Groups;0
devinternal;Administration;;3;Standard User;4;Manage Attributes;0
devinternal;Administration;;3;Standard User;5;Manage ADOs;0
devinternal;Administration;;4;Archivist;1;Configure System;0
devinternal;Administration;;4;Archivist;2;Manage System Templates;0
devinternal;Administration;;4;Archivist;3;Manage Groups;0
devinternal;Administration;;4;Archivist;4;Manage Attributes;0
devinternal;Administration;;4;Archivist;5;Manage ADOs;0
devinternal;Administration;;5;Disc Pharm Super User;1;Configure System;0
devinternal;Administration;;5;Disc Pharm Super User;2;Manage System Templates;0
devinternal;Administration;;5;Disc Pharm Super User;3;Manage Groups;1
devinternal;Administration;;5;Disc Pharm Super User;4;Manage Attributes;0
devinternal;Administration;;5;Disc Pharm Super User;5;Manage ADOs;0
devinternal;Administration;;6;Disc Pharm User;1;Configure System;0
devinternal;Administration;;6;Disc Pharm User;2;Manage System Templates;0
devinternal;Administration;;6;Disc Pharm User;3;Manage Groups;0
devinternal;Administration;;6;Disc Pharm User;4;Manage Attributes;0
devinternal;Administration;;6;Disc Pharm User;5;Manage ADOs;0
devinternal;Administration;;7;FL-Approver;1;Configure System;0
devinternal;Administration;;7;FL-Approver;2;Manage System Templates;0
devinternal;Administration;;7;FL-Approver;3;Manage Groups;0
devinternal;Administration;;7;FL-Approver;4;Manage Attributes;0
devinternal;Administration;;7;FL-Approver;5;Manage ADOs;0
devinternal;Administration;;8;FL-Archivist;1;Configure System;0
devinternal;Administration;;8;FL-Archivist;2;Manage System Templates;0
devinternal;Administration;;8;FL-Archivist;3;Manage Groups;0
devinternal;Administration;;8;FL-Archivist;4;Manage Attributes;0
devinternal;Administration;;8;FL-Archivist;5;Manage ADOs;0
devinternal;Administration;;9;FL-Author;1;Configure System;0
devinternal;Administration;;9;FL-Author;2;Manage System Templates;0
devinternal;Administration;;9;FL-Author;3;Manage Groups;0
devinternal;Administration;;9;FL-Author;4;Manage Attributes;0
devinternal;Administration;;9;FL-Author;5;Manage ADOs;0
devinternal;Administration;;10;Gxp Recipe Builder;1;Configure System;1
devinternal;Administration;;10;Gxp Recipe Builder;2;Manage System Templates;1
devinternal;Administration;;10;Gxp Recipe Builder;3;Manage Groups;0
devinternal;Administration;;10;Gxp Recipe Builder;4;Manage Attributes;0
devinternal;Administration;;10;Gxp Recipe Builder;5;Manage ADOs;0
devinternal;Administration;;11;GxP Std User;1;Configure System;0
devinternal;Administration;;11;GxP Std User;2;Manage System Templates;0
devinternal;Administration;;11;GxP Std User;3;Manage Groups;0
devinternal;Administration;;11;GxP Std User;4;Manage Attributes;0
devinternal;Administration;;11;GxP Std User;5;Manage ADOs;0
devinternal;Administration;;12;GxP Superuser;1;Configure System;0
devinternal;Administration;;12;GxP Superuser;2;Manage System Templates;0
devinternal;Administration;;12;GxP Superuser;3;Manage Groups;1
devinternal;Administration;;12;GxP Superuser;4;Manage Attributes;0
devinternal;Administration;;12;GxP Superuser;5;Manage ADOs;0
devinternal;Administration;;13;Gxp-Active Directory Sync Test Role;1;Configure System;0
devinternal;Administration;;13;Gxp-Active Directory Sync Test Role;2;Manage System Templates;0
devinternal;Administration;;13;Gxp-Active Directory Sync Test Role;3;Manage Groups;0
devinternal;Administration;;13;Gxp-Active Directory Sync Test Role;4;Manage Attributes;0
devinternal;Administration;;13;Gxp-Active Directory Sync Test Role;5;Manage ADOs;0
devinternal;Administration;;14;HELM User;1;Configure System;0
devinternal;Administration;;14;HELM User;2;Manage System Templates;0
devinternal;Administration;;14;HELM User;3;Manage Groups;0
devinternal;Administration;;14;HELM User;4;Manage Attributes;0
devinternal;Administration;;14;HELM User;5;Manage ADOs;0
devinternal;Administration;;15;Janssen Internal User;1;Configure System;0
devinternal;Administration;;15;Janssen Internal User;2;Manage System Templates;0
devinternal;Administration;;15;Janssen Internal User;3;Manage Groups;0
devinternal;Administration;;15;Janssen Internal User;4;Manage Attributes;0
devinternal;Administration;;15;Janssen Internal User;5;Manage ADOs;0
devinternal;Administration;;16;LAC User;1;Configure System;0
devinternal;Administration;;16;LAC User;2;Manage System Templates;0
