Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
devinternal;Experiment Privileges;2;System Admin;1;Share;1
devinternal;Experiment Privileges;2;System Admin;2;Share Templates;1
devinternal;Experiment Privileges;2;System Admin;3;Move Experiments;1
devinternal;Experiment Privileges;2;System Admin;4;Trash Experiments;1
devinternal;Experiment Privileges;2;System Admin;5;Add Reviewers and Keep OpenExperiments;1
devinternal;Experiment Privileges;2;System Admin;6;Sign and Add ReviewersExperiments;1
devinternal;Experiment Privileges;2;System Admin;7;Sign and Keep Open Experiments;1
devinternal;Experiment Privileges;2;System Admin;8;Void Experiments;1
devinternal;Experiment Privileges;2;System Admin;9;Sign and Close Without WitnessingExperiments;1
devinternal;Experiment Privileges;2;System Admin;10;Close Without SigningExperiments;1
devinternal;Experiment Privileges;2;System Admin;11;Two Stage Review Experiments;1
devinternal;Experiment Privileges;2;System Admin;12;Approve Experiments;1
devinternal;Experiment Privileges;3;Inventory Admin;1;Share;0
devinternal;Experiment Privileges;3;Inventory Admin;2;Share Templates;0
devinternal;Experiment Privileges;3;Inventory Admin;3;Move Experiments;0
devinternal;Experiment Privileges;3;Inventory Admin;4;Trash Experiments;0
devinternal;Experiment Privileges;3;Inventory Admin;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;3;Inventory Admin;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;3;Inventory Admin;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;3;Inventory Admin;8;Void Experiments;0
devinternal;Experiment Privileges;3;Inventory Admin;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;3;Inventory Admin;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;3;Inventory Admin;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;3;Inventory Admin;12;Approve Experiments;0
devinternal;Experiment Privileges;4;Standard User;1;Share;0
devinternal;Experiment Privileges;4;Standard User;2;Share Templates;0
devinternal;Experiment Privileges;4;Standard User;3;Move Experiments;1
devinternal;Experiment Privileges;4;Standard User;4;Trash Experiments;0
devinternal;Experiment Privileges;4;Standard User;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;4;Standard User;6;Sign and Add ReviewersExperiments;1
devinternal;Experiment Privileges;4;Standard User;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;4;Standard User;8;Void Experiments;1
devinternal;Experiment Privileges;4;Standard User;9;Sign and Close Without WitnessingExperiments;1
devinternal;Experiment Privileges;4;Standard User;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;4;Standard User;11;Two Stage Review Experiments;1
devinternal;Experiment Privileges;4;Standard User;12;Approve Experiments;0
devinternal;Experiment Privileges;5;Archivist;1;Share;0
devinternal;Experiment Privileges;5;Archivist;2;Share Templates;0
devinternal;Experiment Privileges;5;Archivist;3;Move Experiments;0
devinternal;Experiment Privileges;5;Archivist;4;Trash Experiments;0
devinternal;Experiment Privileges;5;Archivist;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;5;Archivist;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;5;Archivist;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;5;Archivist;8;Void Experiments;0
devinternal;Experiment Privileges;5;Archivist;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;5;Archivist;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;5;Archivist;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;5;Archivist;12;Approve Experiments;0
devinternal;Experiment Privileges;6;Disc Pharm Super User;1;Share;1
devinternal;Experiment Privileges;6;Disc Pharm Super User;2;Share Templates;1
devinternal;Experiment Privileges;6;Disc Pharm Super User;3;Move Experiments;0
devinternal;Experiment Privileges;6;Disc Pharm Super User;4;Trash Experiments;0
devinternal;Experiment Privileges;6;Disc Pharm Super User;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;6;Disc Pharm Super User;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;6;Disc Pharm Super User;7;Sign and Keep Open Experiments;0
