Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
devinternal;Samples Privileges;2;System Admin;1;Delete Samples;1
devinternal;Samples Privileges;2;System Admin;2;Close/Cancel Samples;1
devinternal;Samples Privileges;2;System Admin;3;Reopen Samples;1
devinternal;Samples Privileges;3;Inventory Admin;1;Delete Samples;0
devinternal;Samples Privileges;3;Inventory Admin;2;Close/Cancel Samples;0
devinternal;Samples Privileges;3;Inventory Admin;3;Reopen Samples;0
devinternal;Samples Privileges;4;Standard User;1;Delete Samples;0
devinternal;Samples Privileges;4;Standard User;2;Close/Cancel Samples;1
devinternal;Samples Privileges;4;Standard User;3;Reopen Samples;1
devinternal;Samples Privileges;5;Archivist;1;Delete Samples;0
devinternal;Samples Privileges;5;Archivist;2;Close/Cancel Samples;0
devinternal;Samples Privileges;5;Archivist;3;Reopen Samples;0
devinternal;Samples Privileges;6;Disc Pharm Super User;1;Delete Samples;0
devinternal;Samples Privileges;6;Disc Pharm Super User;2;Close/Cancel Samples;0
devinternal;Samples Privileges;6;Disc Pharm Super User;3;Reopen Samples;0
devinternal;Samples Privileges;7;Disc Pharm User;1;Delete Samples;0
devinternal;Samples Privileges;7;Disc Pharm User;2;Close/Cancel Samples;0
devinternal;Samples Privileges;7;Disc Pharm User;3;Reopen Samples;0
devinternal;Samples Privileges;8;FL-Approver;1;Delete Samples;0
devinternal;Samples Privileges;8;FL-Approver;2;Close/Cancel Samples;0
devinternal;Samples Privileges;8;FL-Approver;3;Reopen Samples;0
devinternal;Samples Privileges;9;FL-Archivist;1;Delete Samples;0
devinternal;Samples Privileges;9;FL-Archivist;2;Close/Cancel Samples;0
devinternal;Samples Privileges;9;FL-Archivist;3;Reopen Samples;0
devinternal;Samples Privileges;10;FL-Author;1;Delete Samples;0
devinternal;Samples Privileges;10;FL-Author;2;Close/Cancel Samples;0
devinternal;Samples Privileges;10;FL-Author;3;Reopen Samples;0
devinternal;Samples Privileges;11;Gxp Recipe Builder;1;Delete Samples;0
devinternal;Samples Privileges;11;Gxp Recipe Builder;2;Close/Cancel Samples;0
devinternal;Samples Privileges;11;Gxp Recipe Builder;3;Reopen Samples;0
devinternal;Samples Privileges;12;GxP Std User;1;Delete Samples;0
devinternal;Samples Privileges;12;GxP Std User;2;Close/Cancel Samples;0
devinternal;Samples Privileges;12;GxP Std User;3;Reopen Samples;0
devinternal;Samples Privileges;13;GxP Superuser;1;Delete Samples;0
devinternal;Samples Privileges;13;GxP Superuser;2;Close/Cancel Samples;0
devinternal;Samples Privileges;13;GxP Superuser;3;Reopen Samples;0
devinternal;Samples Privileges;14;Gxp-Active Directory Sync Test Role;1;Delete Samples;0
devinternal;Samples Privileges;14;Gxp-Active Directory Sync Test Role;2;Close/Cancel Samples;0
devinternal;Samples Privileges;14;Gxp-Active Directory Sync Test Role;3;Reopen Samples;0
devinternal;Samples Privileges;15;HELM User;1;Delete Samples;0
devinternal;Samples Privileges;15;HELM User;2;Close/Cancel Samples;0
devinternal;Samples Privileges;15;HELM User;3;Reopen Samples;0
devinternal;Samples Privileges;16;Janssen Internal User;1;Delete Samples;1
devinternal;Samples Privileges;16;Janssen Internal User;2;Close/Cancel Samples;1
devinternal;Samples Privileges;16;Janssen Internal User;3;Reopen Samples;1
devinternal;Samples Privileges;17;LAC User;1;Delete Samples;0
devinternal;Samples Privileges;17;LAC User;2;Close/Cancel Samples;0
devinternal;Samples Privileges;17;LAC User;3;Reopen Samples;0
devinternal;Samples Privileges;18;ML Key User;1;Delete Samples;0
devinternal;Samples Privileges;18;ML Key User;2;Close/Cancel Samples;0
