Environment;Tab;SubTab;Role Index;Role;Permission Index;Permission;Value
devinternal;Author;;29;test;1;Share;0
devinternal;Author;;29;test;2;Read Dependent Share;0
devinternal;Author;;29;test;3;Add/Edit/Delete comments;0
devinternal;Author;;29;test;4;Broad User Search;0
devinternal;Author;;29;test;5;Share Templates;1
devinternal;Author;;29;test;6;Move Experiments;0
devinternal;Author;;29;test;7;Trash Experiments;0
devinternal;Author;;29;test;8;Trash Notebooks;0
devinternal;Author;;29;test;9;Export Notebooks;0
devinternal;Author;;29;test;10;Trash Requests;0
devinternal;Author;;29;test;11;Delete Samples;0
devinternal;Author;;29;test;12;Close/Cancel Samples;0
devinternal;Author;;29;test;13;Reopen Samples;0
devinternal;Author;;29;test;14;Add Parallel Experiments;0
devinternal;Author;;29;test;15;Move Parallel Experiments;0
devinternal;Author;;29;test;16;Export Parallel Experiments;0
devinternal;Author;;29;test;17;Trash Parallel Experiments;0
devinternal;Author;;29;test;18;Archive;0
devinternal;Author;;29;test;19;Return From Archive;0
devinternal;Author;;29;test;20;Trash Mandatory Entities;0
devinternal;Author;;29;test;21;Clone Entities;0
devinternal;Author;;29;test;22;Save as Template;0
devinternal;Author;;29;test;23;Update Definition;0
devinternal;Materials;;29;test;1;Manage Material Libraries;0
devinternal;Materials;;29;test;2;View Materials;0
devinternal;Materials;;29;test;3;Add Materials;0
devinternal;Materials;;29;test;4;Edit Materials;0
devinternal;Materials;;29;test;5;Delete Materials;0
devinternal;Materials;;29;test;6;Export Materials;0
devinternal;Inventory;Application;29;test;1;Inventory App;0
devinternal;Inventory;Application;29;test;2;Manage Inventory;0
devinternal;Inventory;Application;29;test;3;Manage Inventory Attributes;0
devinternal;Inventory;Locations;29;test;1;Add Location;0
devinternal;Inventory;Locations;29;test;2;Edit Location;0
devinternal;Inventory;Locations;29;test;3;Move Location Contents;0
devinternal;Inventory;Locations;29;test;4;Move Location;0
devinternal;Inventory;Locations;29;test;5;Delete Location;0
devinternal;Inventory;Containers;29;test;1;Add Container;0
devinternal;Inventory;Containers;29;test;2;Edit Container;0
devinternal;Inventory;Containers;29;test;3;Aliquot Container;0
devinternal;Inventory;Containers;29;test;4;Update Amount;0
devinternal;Inventory;Containers;29;test;5;Export Containers;0
devinternal;Inventory;Containers;29;test;6;Update Home;0
devinternal;Inventory;Containers;29;test;7;Delete Container;0
devinternal;Inventory;Containers;29;test;8;Final Dispose;0
devinternal;HELM Monomer Libraries;;29;test;1;Create & Manage Libraries;0
devinternal;HELM Monomer Libraries;;29;test;2;Add New Monomers;0
devinternal;HELM Monomer Libraries;;29;test;3;Access Monomer Curation App;0
