Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
jnj-test;Experiment Privileges;2;System Admin;1;Share;1
jnj-test;Experiment Privileges;2;System Admin;2;Share Templates;1
jnj-test;Experiment Privileges;2;System Admin;3;Move Experiments;1
jnj-test;Experiment Privileges;2;System Admin;4;Trash Experiments;1
jnj-test;Experiment Privileges;2;System Admin;5;Add Reviewers and Keep OpenExperiments;1
jnj-test;Experiment Privileges;2;System Admin;6;Sign and Add ReviewersExperiments;1
jnj-test;Experiment Privileges;2;System Admin;7;Sign and Keep Open Experiments;1
jnj-test;Experiment Privileges;2;System Admin;8;Void Experiments;1
jnj-test;Experiment Privileges;2;System Admin;9;Sign and Close Without WitnessingExperiments;1
jnj-test;Experiment Privileges;2;System Admin;10;Close Without SigningExperiments;1
jnj-test;Experiment Privileges;2;System Admin;11;Two Stage Review Experiments;1
jnj-test;Experiment Privileges;2;System Admin;12;Approve Experiments;1
jnj-test;Experiment Privileges;3;Inventory Admin;1;Share;0
jnj-test;Experiment Privileges;3;Inventory Admin;2;Share Templates;0
jnj-test;Experiment Privileges;3;Inventory Admin;3;Move Experiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;4;Trash Experiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;5;Add Reviewers and Keep OpenExperiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;6;Sign and Add ReviewersExperiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;7;Sign and Keep Open Experiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;8;Void Experiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;9;Sign and Close Without WitnessingExperiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;10;Close Without SigningExperiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;11;Two Stage Review Experiments;0
jnj-test;Experiment Privileges;3;Inventory Admin;12;Approve Experiments;0
jnj-test;Experiment Privileges;4;Standard User;1;Share;0
jnj-test;Experiment Privileges;4;Standard User;2;Share Templates;0
jnj-test;Experiment Privileges;4;Standard User;3;Move Experiments;1
jnj-test;Experiment Privileges;4;Standard User;4;Trash Experiments;0
jnj-test;Experiment Privileges;4;Standard User;5;Add Reviewers and Keep OpenExperiments;0
jnj-test;Experiment Privileges;4;Standard User;6;Sign and Add ReviewersExperiments;1
jnj-test;Experiment Privileges;4;Standard User;7;Sign and Keep Open Experiments;0
jnj-test;Experiment Privileges;4;Standard User;8;Void Experiments;1
jnj-test;Experiment Privileges;4;Standard User;9;Sign and Close Without WitnessingExperiments;0
jnj-test;Experiment Privileges;4;Standard User;10;Close Without SigningExperiments;0
jnj-test;Experiment Privileges;4;Standard User;11;Two Stage Review Experiments;0
jnj-test;Experiment Privileges;4;Standard User;12;Approve Experiments;0
jnj-test;Experiment Privileges;5;FL-Approver;1;Share;0
jnj-test;Experiment Privileges;5;FL-Approver;2;Share Templates;0
jnj-test;Experiment Privileges;5;FL-Approver;3;Move Experiments;0
jnj-test;Experiment Privileges;5;FL-Approver;4;Trash Experiments;0
jnj-test;Experiment Privileges;5;FL-Approver;5;Add Reviewers and Keep OpenExperiments;0
jnj-test;Experiment Privileges;5;FL-Approver;6;Sign and Add ReviewersExperiments;0
jnj-test;Experiment Privileges;5;FL-Approver;7;Sign and Keep Open Experiments;0
jnj-test;Experiment Privileges;5;FL-Approver;8;Void Experiments;0
jnj-test;Experiment Privileges;5;FL-Approver;9;Sign and Close Without WitnessingExperiments;0
jnj-test;Experiment Privileges;5;FL-Approver;10;Close Without SigningExperiments;0
jnj-test;Experiment Privileges;5;FL-Approver;11;Two Stage Review Experiments;0
jnj-test;Experiment Privileges;5;FL-Approver;12;Approve Experiments;0
jnj-test;Experiment Privileges;6;FL-Archivist;1;Share;0
jnj-test;Experiment Privileges;6;FL-Archivist;2;Share Templates;0
jnj-test;Experiment Privileges;6;FL-Archivist;3;Move Experiments;0
