Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
jnj-test;GxP Experiment Privileges;2;System Admin;1;View;1
jnj-test;GxP Experiment Privileges;2;System Admin;2;Add;1
jnj-test;GxP Experiment Privileges;2;System Admin;3;Edit;1
jnj-test;GxP Experiment Privileges;2;System Admin;4;Move;1
jnj-test;GxP Experiment Privileges;2;System Admin;5;Export;1
jnj-test;GxP Experiment Privileges;2;System Admin;6;Share;1
jnj-test;GxP Experiment Privileges;2;System Admin;7;Read Dependent Share;1
jnj-test;GxP Experiment Privileges;2;System Admin;8;Trash;1
jnj-test;GxP Experiment Privileges;2;System Admin;9;Share Templates;1
jnj-test;GxP Experiment Privileges;2;System Admin;10;Add Reviewers and Keep Open;1
jnj-test;GxP Experiment Privileges;2;System Admin;11;Sign and Add Reviewers;1
jnj-test;GxP Experiment Privileges;2;System Admin;12;Sign and Keep Open;1
jnj-test;GxP Experiment Privileges;2;System Admin;13;Void;1
jnj-test;GxP Experiment Privileges;2;System Admin;14;Sign and Close Without Witnessing;1
jnj-test;GxP Experiment Privileges;2;System Admin;15;Two Stage Review;1
jnj-test;GxP Experiment Privileges;2;System Admin;16;Close Without Signing;1
jnj-test;GxP Experiment Privileges;2;System Admin;17;Approve;1
jnj-test;GxP Experiment Privileges;3;Inventory Admin;1;View;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;2;Add;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;3;Edit;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;4;Move;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;5;Export;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;6;Share;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;7;Read Dependent Share;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;8;Trash;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;9;Share Templates;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;10;Add Reviewers and Keep Open;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;11;Sign and Add Reviewers;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;12;Sign and Keep Open;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;13;Void;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;14;Sign and Close Without Witnessing;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;15;Two Stage Review;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;16;Close Without Signing;0
jnj-test;GxP Experiment Privileges;3;Inventory Admin;17;Approve;0
jnj-test;GxP Experiment Privileges;4;Standard User;1;View;0
jnj-test;GxP Experiment Privileges;4;Standard User;2;Add;0
jnj-test;GxP Experiment Privileges;4;Standard User;3;Edit;0
jnj-test;GxP Experiment Privileges;4;Standard User;4;Move;0
jnj-test;GxP Experiment Privileges;4;Standard User;5;Export;0
jnj-test;GxP Experiment Privileges;4;Standard User;6;Share;0
jnj-test;GxP Experiment Privileges;4;Standard User;7;Read Dependent Share;0
jnj-test;GxP Experiment Privileges;4;Standard User;8;Trash;0
jnj-test;GxP Experiment Privileges;4;Standard User;9;Share Templates;0
jnj-test;GxP Experiment Privileges;4;Standard User;10;Add Reviewers and Keep Open;0
jnj-test;GxP Experiment Privileges;4;Standard User;11;Sign and Add Reviewers;0
jnj-test;GxP Experiment Privileges;4;Standard User;12;Sign and Keep Open;0
jnj-test;GxP Experiment Privileges;4;Standard User;13;Void;0
jnj-test;GxP Experiment Privileges;4;Standard User;14;Sign and Close Without Witnessing;0
jnj-test;GxP Experiment Privileges;4;Standard User;15;Two Stage Review;0
jnj-test;GxP Experiment Privileges;4;Standard User;16;Close Without Signing;0
jnj-test;GxP Experiment Privileges;4;Standard User;17;Approve;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;1;View;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;2;Add;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;3;Edit;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;4;Move;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;5;Export;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;6;Share;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;7;Read Dependent Share;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;8;Trash;0
jnj-test;GxP Experiment Privileges;5;FL-Approver;9;Share Templates;0
