Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
jnj-test;Notebook Privileges;2;System Admin;1;Share;1
jnj-test;Notebook Privileges;2;System Admin;2;Trash Notebooks;1
jnj-test;Notebook Privileges;2;System Admin;3;Export Notebooks;1
jnj-test;Notebook Privileges;3;Inventory Admin;1;Share;0
jnj-test;Notebook Privileges;3;Inventory Admin;2;Trash Notebooks;0
jnj-test;Notebook Privileges;3;Inventory Admin;3;Export Notebooks;0
jnj-test;Notebook Privileges;4;Standard User;1;Share;0
jnj-test;Notebook Privileges;4;Standard User;2;Trash Notebooks;0
jnj-test;Notebook Privileges;4;Standard User;3;Export Notebooks;1
jnj-test;Notebook Privileges;5;FL-Approver;1;Share;0
jnj-test;Notebook Privileges;5;FL-Approver;2;Trash Notebooks;0
jnj-test;Notebook Privileges;5;FL-Approver;3;Export Notebooks;0
jnj-test;Notebook Privileges;6;FL-Archivist;1;Share;0
jnj-test;Notebook Privileges;6;FL-Archivist;2;Trash Notebooks;0
jnj-test;Notebook Privileges;6;FL-Archivist;3;Export Notebooks;0
jnj-test;Notebook Privileges;7;FL-Author;1;Share;0
jnj-test;Notebook Privileges;7;FL-Author;2;Trash Notebooks;0
jnj-test;Notebook Privileges;7;FL-Author;3;Export Notebooks;0
jnj-test;Notebook Privileges;8;GxP Std User;1;Share;0
jnj-test;Notebook Privileges;8;GxP Std User;2;Trash Notebooks;0
jnj-test;Notebook Privileges;8;GxP Std User;3;Export Notebooks;1
jnj-test;Notebook Privileges;9;GxP Superuser;1;Share;1
jnj-test;Notebook Privileges;9;GxP Superuser;2;Trash Notebooks;0
jnj-test;Notebook Privileges;9;GxP Superuser;3;Export Notebooks;1
jnj-test;Notebook Privileges;10;Janssen Internal User;1;Share;0
jnj-test;Notebook Privileges;10;Janssen Internal User;2;Trash Notebooks;0
jnj-test;Notebook Privileges;10;Janssen Internal User;3;Export Notebooks;1
jnj-test;Notebook Privileges;11;Non-GxP Standard User;1;Share;0
jnj-test;Notebook Privileges;11;Non-GxP Standard User;2;Trash Notebooks;0
jnj-test;Notebook Privileges;11;Non-GxP Standard User;3;Export Notebooks;0
jnj-test;Notebook Privileges;12;Recipe Builder;1;Share;0
jnj-test;Notebook Privileges;12;Recipe Builder;2;Trash Notebooks;0
jnj-test;Notebook Privileges;12;Recipe Builder;3;Export Notebooks;0
jnj-test;Notebook Privileges;13;ResearchCenterManager;1;Share;0
jnj-test;Notebook Privileges;13;ResearchCenterManager;2;Trash Notebooks;0
jnj-test;Notebook Privileges;13;ResearchCenterManager;3;Export Notebooks;0
jnj-test;Notebook Privileges;14;ResearchCenterUser;1;Share;0
jnj-test;Notebook Privileges;14;ResearchCenterUser;2;Trash Notebooks;0
jnj-test;Notebook Privileges;14;ResearchCenterUser;3;Export Notebooks;0
jnj-test;Notebook Privileges;15;ResearchCenterViewer;1;Share;0
jnj-test;Notebook Privileges;15;ResearchCenterViewer;2;Trash Notebooks;0
jnj-test;Notebook Privileges;15;ResearchCenterViewer;3;Export Notebooks;0
jnj-test;Notebook Privileges;16;Sign & 2 Stage Review;1;Share;0
jnj-test;Notebook Privileges;16;Sign & 2 Stage Review;2;Trash Notebooks;0
jnj-test;Notebook Privileges;16;Sign & 2 Stage Review;3;Export Notebooks;0
jnj-test;Notebook Privileges;17;Sign & Close;1;Share;0
jnj-test;Notebook Privileges;17;Sign & Close;2;Trash Notebooks;0
jnj-test;Notebook Privileges;17;Sign & Close;3;Export Notebooks;0
jnj-test;Notebook Privileges;18;Superuser;1;Share;1
jnj-test;Notebook Privileges;18;Superuser;2;Trash Notebooks;0
jnj-test;Notebook Privileges;18;Superuser;3;Export Notebooks;1
jnj-test;Notebook Privileges;19;TEST USER ROLES;1;Share;0
jnj-test;Notebook Privileges;19;TEST USER ROLES;2;Trash Notebooks;0
jnj-test;Notebook Privileges;19;TEST USER ROLES;3;Export Notebooks;1
