Environment;Tab;SubTab;Role Index;Role;Permission Index;Permission;Value
jnj-test;Administration;;1;System Admin;1;Configure System;1
jnj-test;Administration;;1;System Admin;2;Manage System Templates;1
jnj-test;Administration;;1;System Admin;3;Manage Groups;1
jnj-test;Administration;;1;System Admin;4;Manage Attributes;1
jnj-test;Administration;;1;System Admin;5;Manage ADOs;1
jnj-test;Administration;;2;Inventory Admin;1;Configure System;1
jnj-test;Administration;;2;Inventory Admin;2;Manage System Templates;1
jnj-test;Administration;;2;Inventory Admin;3;Manage Groups;0
jnj-test;Administration;;2;Inventory Admin;4;Manage Attributes;1
jnj-test;Administration;;2;Inventory Admin;5;Manage ADOs;0
jnj-test;Administration;;3;Standard User;1;Configure System;0
jnj-test;Administration;;3;Standard User;2;Manage System Templates;0
jnj-test;Administration;;3;Standard User;3;Manage Groups;0
jnj-test;Administration;;3;Standard User;4;Manage Attributes;0
jnj-test;Administration;;3;Standard User;5;Manage ADOs;0
jnj-test;Administration;;4;FL-Approver;1;Configure System;0
jnj-test;Administration;;4;FL-Approver;2;Manage System Templates;0
jnj-test;Administration;;4;FL-Approver;3;Manage Groups;0
jnj-test;Administration;;4;FL-Approver;4;Manage Attributes;0
jnj-test;Administration;;4;FL-Approver;5;Manage ADOs;0
jnj-test;Administration;;5;FL-Archivist;1;Configure System;0
jnj-test;Administration;;5;FL-Archivist;2;Manage System Templates;0
jnj-test;Administration;;5;FL-Archivist;3;Manage Groups;0
jnj-test;Administration;;5;FL-Archivist;4;Manage Attributes;0
jnj-test;Administration;;5;FL-Archivist;5;Manage ADOs;0
jnj-test;Administration;;6;FL-Author;1;Configure System;0
jnj-test;Administration;;6;FL-Author;2;Manage System Templates;0
jnj-test;Administration;;6;FL-Author;3;Manage Groups;0
jnj-test;Administration;;6;FL-Author;4;Manage Attributes;0
jnj-test;Administration;;6;FL-Author;5;Manage ADOs;0
jnj-test;Administration;;7;GxP Std User;1;Configure System;0
jnj-test;Administration;;7;GxP Std User;2;Manage System Templates;0
jnj-test;Administration;;7;GxP Std User;3;Manage Groups;0
jnj-test;Administration;;7;GxP Std User;4;Manage Attributes;0
jnj-test;Administration;;7;GxP Std User;5;Manage ADOs;0
jnj-test;Administration;;8;GxP Superuser;1;Configure System;0
jnj-test;Administration;;8;GxP Superuser;2;Manage System Templates;0
jnj-test;Administration;;8;GxP Superuser;3;Manage Groups;1
jnj-test;Administration;;8;GxP Superuser;4;Manage Attributes;0
jnj-test;Administration;;8;GxP Superuser;5;Manage ADOs;0
jnj-test;Administration;;9;Janssen Internal User;1;Configure System;0
jnj-test;Administration;;9;Janssen Internal User;2;Manage System Templates;0
jnj-test;Administration;;9;Janssen Internal User;3;Manage Groups;0
jnj-test;Administration;;9;Janssen Internal User;4;Manage Attributes;0
jnj-test;Administration;;9;Janssen Internal User;5;Manage ADOs;0
jnj-test;Administration;;10;Non-GxP Standard User;1;Configure System;0
jnj-test;Administration;;10;Non-GxP Standard User;2;Manage System Templates;0
jnj-test;Administration;;10;Non-GxP Standard User;3;Manage Groups;0
jnj-test;Administration;;10;Non-GxP Standard User;4;Manage Attributes;0
jnj-test;Administration;;10;Non-GxP Standard User;5;Manage ADOs;0
jnj-test;Administration;;11;Recipe Builder;1;Configure System;1
jnj-test;Administration;;11;Recipe Builder;2;Manage System Templates;1
jnj-test;Administration;;11;Recipe Builder;3;Manage Groups;0
jnj-test;Administration;;11;Recipe Builder;4;Manage Attributes;0
jnj-test;Administration;;11;Recipe Builder;5;Manage ADOs;0
jnj-test;Administration;;12;ResearchCenterManager;1;Configure System;0
jnj-test;Administration;;12;ResearchCenterManager;2;Manage System Templates;0
jnj-test;Administration;;12;ResearchCenterManager;3;Manage Groups;0
jnj-test;Administration;;12;ResearchCenterManager;4;Manage Attributes;0
jnj-test;Administration;;12;ResearchCenterManager;5;Manage ADOs;0
jnj-test;Administration;;13;ResearchCenterUser;1;Configure System;0
jnj-test;Administration;;13;ResearchCenterUser;2;Manage System Templates;0
jnj-test;Administration;;13;ResearchCenterUser;3;Manage Groups;0
jnj-test;Administration;;13;ResearchCenterUser;4;Manage Attributes;0
jnj-test;Administration;;13;ResearchCenterUser;5;Manage ADOs;0
jnj-test;Administration;;14;ResearchCenterViewer;1;Configure System;0
jnj-test;Administration;;14;ResearchCenterViewer;2;Manage System Templates;0
jnj-test;Administration;;14;ResearchCenterViewer;3;Manage Groups;0
jnj-test;Administration;;14;ResearchCenterViewer;4;Manage Attributes;0
jnj-test;Administration;;14;ResearchCenterViewer;5;Manage ADOs;0
jnj-test;Administration;;15;Sign & 2 Stage Review;1;Configure System;0
jnj-test;Administration;;15;Sign & 2 Stage Review;2;Manage System Templates;0
jnj-test;Administration;;15;Sign & 2 Stage Review;3;Manage Groups;0
jnj-test;Administration;;15;Sign & 2 Stage Review;4;Manage Attributes;0
jnj-test;Administration;;15;Sign & 2 Stage Review;5;Manage ADOs;0
jnj-test;Administration;;16;Sign & Close;1;Configure System;0
jnj-test;Administration;;16;Sign & Close;2;Manage System Templates;0
jnj-test;Administration;;16;Sign & Close;3;Manage Groups;0
jnj-test;Administration;;16;Sign & Close;4;Manage Attributes;0
jnj-test;Administration;;16;Sign & Close;5;Manage ADOs;0
jnj-test;Administration;;17;Superuser;1;Configure System;0
jnj-test;Administration;;17;Superuser;2;Manage System Templates;0
jnj-test;Administration;;17;Superuser;3;Manage Groups;1
jnj-test;Administration;;17;Superuser;4;Manage Attributes;0
jnj-test;Administration;;17;Superuser;5;Manage ADOs;0
jnj-test;Administration;;18;TEST USER ROLES;1;Configure System;0
jnj-test;Administration;;18;TEST USER ROLES;2;Manage System Templates;0
jnj-test;Administration;;18;TEST USER ROLES;3;Manage Groups;0
jnj-test;Administration;;18;TEST USER ROLES;4;Manage Attributes;0
jnj-test;Administration;;18;TEST USER ROLES;5;Manage ADOs;0
jnj-test;Author;;1;System Admin;1;Share;1
jnj-test;Author;;1;System Admin;2;Read Dependent Share;1
jnj-test;Author;;1;System Admin;3;Add/Edit/Delete comments;1
jnj-test;Author;;1;System Admin;4;Broad User Search;1
jnj-test;Author;;1;System Admin;5;Share Templates;1
jnj-test;Author;;1;System Admin;6;Move Experiments;1
jnj-test;Author;;1;System Admin;7;Trash Experiments;1
jnj-test;Author;;1;System Admin;8;Trash Notebooks;1
jnj-test;Author;;1;System Admin;9;Export Notebooks;1
jnj-test;Author;;1;System Admin;10;Trash Requests;1
jnj-test;Author;;1;System Admin;11;Delete Samples;1
jnj-test;Author;;1;System Admin;12;Close/Cancel Samples;1
jnj-test;Author;;1;System Admin;13;Reopen Samples;1
jnj-test;Author;;1;System Admin;14;Add Parallel Experiments;1
jnj-test;Author;;1;System Admin;15;Move Parallel Experiments;1
jnj-test;Author;;1;System Admin;16;Export Parallel Experiments;1
jnj-test;Author;;1;System Admin;17;Trash Parallel Experiments;1
jnj-test;Author;;1;System Admin;18;Archive;1
jnj-test;Author;;1;System Admin;19;Return From Archive;1
jnj-test;Author;;1;System Admin;20;Trash Mandatory Entities;1
jnj-test;Author;;1;System Admin;21;Clone Entities;1
jnj-test;Author;;1;System Admin;22;Save as Template;1
jnj-test;Author;;1;System Admin;23;Update Definition;1
jnj-test;Author;;2;Inventory Admin;1;Share;0
jnj-test;Author;;2;Inventory Admin;2;Read Dependent Share;0
jnj-test;Author;;2;Inventory Admin;3;Add/Edit/Delete comments;0
jnj-test;Author;;2;Inventory Admin;4;Broad User Search;0
jnj-test;Author;;2;Inventory Admin;5;Share Templates;0
jnj-test;Author;;2;Inventory Admin;6;Move Experiments;0
jnj-test;Author;;2;Inventory Admin;7;Trash Experiments;0
jnj-test;Author;;2;Inventory Admin;8;Trash Notebooks;0
jnj-test;Author;;2;Inventory Admin;9;Export Notebooks;0
jnj-test;Author;;2;Inventory Admin;10;Trash Requests;0
jnj-test;Author;;2;Inventory Admin;11;Delete Samples;0
jnj-test;Author;;2;Inventory Admin;12;Close/Cancel Samples;0
jnj-test;Author;;2;Inventory Admin;13;Reopen Samples;0
jnj-test;Author;;2;Inventory Admin;14;Add Parallel Experiments;0
jnj-test;Author;;2;Inventory Admin;15;Move Parallel Experiments;0
jnj-test;Author;;2;Inventory Admin;16;Export Parallel Experiments;0
jnj-test;Author;;2;Inventory Admin;17;Trash Parallel Experiments;0
jnj-test;Author;;2;Inventory Admin;18;Archive;0
jnj-test;Author;;2;Inventory Admin;19;Return From Archive;0
jnj-test;Author;;2;Inventory Admin;20;Trash Mandatory Entities;0
jnj-test;Author;;2;Inventory Admin;21;Clone Entities;0
jnj-test;Author;;2;Inventory Admin;22;Save as Template;0
jnj-test;Author;;2;Inventory Admin;23;Update Definition;0
jnj-test;Author;;3;Standard User;1;Share;0
jnj-test;Author;;3;Standard User;2;Read Dependent Share;0
jnj-test;Author;;3;Standard User;3;Add/Edit/Delete comments;1
jnj-test;Author;;3;Standard User;4;Broad User Search;0
jnj-test;Author;;3;Standard User;5;Share Templates;0
jnj-test;Author;;3;Standard User;6;Move Experiments;1
jnj-test;Author;;3;Standard User;7;Trash Experiments;0
jnj-test;Author;;3;Standard User;8;Trash Notebooks;0
jnj-test;Author;;3;Standard User;9;Export Notebooks;1
jnj-test;Author;;3;Standard User;10;Trash Requests;0
jnj-test;Author;;3;Standard User;11;Delete Samples;0
jnj-test;Author;;3;Standard User;12;Close/Cancel Samples;0
jnj-test;Author;;3;Standard User;13;Reopen Samples;0
jnj-test;Author;;3;Standard User;14;Add Parallel Experiments;0
jnj-test;Author;;3;Standard User;15;Move Parallel Experiments;0
jnj-test;Author;;3;Standard User;16;Export Parallel Experiments;0
jnj-test;Author;;3;Standard User;17;Trash Parallel Experiments;0
jnj-test;Author;;3;Standard User;18;Archive;0
jnj-test;Author;;3;Standard User;19;Return From Archive;0
jnj-test;Author;;3;Standard User;20;Trash Mandatory Entities;0
jnj-test;Author;;3;Standard User;21;Clone Entities;1
jnj-test;Author;;3;Standard User;22;Save as Template;1
jnj-test;Author;;3;Standard User;23;Update Definition;1
jnj-test;Author;;4;FL-Approver;1;Share;0
jnj-test;Author;;4;FL-Approver;2;Read Dependent Share;0
jnj-test;Author;;4;FL-Approver;3;Add/Edit/Delete comments;0
jnj-test;Author;;4;FL-Approver;4;Broad User Search;0
jnj-test;Author;;4;FL-Approver;5;Share Templates;0
jnj-test;Author;;4;FL-Approver;6;Move Experiments;0
jnj-test;Author;;4;FL-Approver;7;Trash Experiments;0
jnj-test;Author;;4;FL-Approver;8;Trash Notebooks;0
jnj-test;Author;;4;FL-Approver;9;Export Notebooks;0
jnj-test;Author;;4;FL-Approver;10;Trash Requests;0
jnj-test;Author;;4;FL-Approver;11;Delete Samples;0
jnj-test;Author;;4;FL-Approver;12;Close/Cancel Samples;0
jnj-test;Author;;4;FL-Approver;13;Reopen Samples;0
jnj-test;Author;;4;FL-Approver;14;Add Parallel Experiments;0
jnj-test;Author;;4;FL-Approver;15;Move Parallel Experiments;0
jnj-test;Author;;4;FL-Approver;16;Export Parallel Experiments;0
jnj-test;Author;;4;FL-Approver;17;Trash Parallel Experiments;0
jnj-test;Author;;4;FL-Approver;18;Archive;0
jnj-test;Author;;4;FL-Approver;19;Return From Archive;0
jnj-test;Author;;4;FL-Approver;20;Trash Mandatory Entities;0
jnj-test;Author;;4;FL-Approver;21;Clone Entities;0
jnj-test;Author;;4;FL-Approver;22;Save as Template;0
jnj-test;Author;;4;FL-Approver;23;Update Definition;0
jnj-test;Author;;5;FL-Archivist;1;Share;0
